disaster_typesepoch: 70_test:tensor(0.7969, device='cuda:0')_val:tensor(0.7687, device='cuda:0')_train:tensor(0.8220, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 71_test:tensor(0.8038, device='cuda:0')_val:tensor(0.7653, device='cuda:0')_train:tensor(0.8245, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 72_test:tensor(0.7981, device='cuda:0')_val:tensor(0.7769, device='cuda:0')_train:tensor(0.8208, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 73_test:tensor(0.7987, device='cuda:0')_val:tensor(0.7667, device='cuda:0')_train:tensor(0.8280, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 74_test:tensor(0.7997, device='cuda:0')_val:tensor(0.7728, device='cuda:0')_train:tensor(0.8262, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 75_test:tensor(0.7944, device='cuda:0')_val:tensor(0.7639, device='cuda:0')_train:tensor(0.8256, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 76_test:tensor(0.7978, device='cuda:0')_val:tensor(0.7667, device='cuda:0')_train:tensor(0.8246, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 77_test:tensor(0.8019, device='cuda:0')_val:tensor(0.7803, device='cuda:0')_train:tensor(0.8241, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 78_test:tensor(0.7969, device='cuda:0')_val:tensor(0.7810, device='cuda:0')_train:tensor(0.8238, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 79_test:tensor(0.7994, device='cuda:0')_val:tensor(0.7714, device='cuda:0')_train:tensor(0.8245, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 80_test:tensor(0.7994, device='cuda:0')_val:tensor(0.7735, device='cuda:0')_train:tensor(0.8269, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 81_test:tensor(0.7922, device='cuda:0')_val:tensor(0.7667, device='cuda:0')_train:tensor(0.8219, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 82_test:tensor(0.8025, device='cuda:0')_val:tensor(0.7755, device='cuda:0')_train:tensor(0.8239, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 83_test:tensor(0.8063, device='cuda:0')_val:tensor(0.7633, device='cuda:0')_train:tensor(0.8215, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 84_test:tensor(0.7994, device='cuda:0')_val:tensor(0.7721, device='cuda:0')_train:tensor(0.8255, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 85_test:tensor(0.7978, device='cuda:0')_val:tensor(0.7769, device='cuda:0')_train:tensor(0.8255, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 86_test:tensor(0.7937, device='cuda:0')_val:tensor(0.7599, device='cuda:0')_train:tensor(0.8234, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 87_test:tensor(0.8047, device='cuda:0')_val:tensor(0.7776, device='cuda:0')_train:tensor(0.8263, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 88_test:tensor(0.7997, device='cuda:0')_val:tensor(0.7741, device='cuda:0')_train:tensor(0.8270, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 89_test:tensor(0.7969, device='cuda:0')_val:tensor(0.7680, device='cuda:0')_train:tensor(0.8255, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 90_test:tensor(0.7953, device='cuda:0')_val:tensor(0.7680, device='cuda:0')_train:tensor(0.8210, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 91_test:tensor(0.7978, device='cuda:0')_val:tensor(0.7735, device='cuda:0')_train:tensor(0.8192, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 92_test:tensor(0.7984, device='cuda:0')_val:tensor(0.7816, device='cuda:0')_train:tensor(0.8261, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 93_test:tensor(0.7975, device='cuda:0')_val:tensor(0.7728, device='cuda:0')_train:tensor(0.8294, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 94_test:tensor(0.7966, device='cuda:0')_val:tensor(0.7639, device='cuda:0')_train:tensor(0.8262, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 95_test:tensor(0.8013, device='cuda:0')_val:tensor(0.7735, device='cuda:0')_train:tensor(0.8245, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 96_test:tensor(0.7984, device='cuda:0')_val:tensor(0.7714, device='cuda:0')_train:tensor(0.8283, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 97_test:tensor(0.8041, device='cuda:0')_val:tensor(0.7707, device='cuda:0')_train:tensor(0.8234, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 98_test:tensor(0.7947, device='cuda:0')_val:tensor(0.7687, device='cuda:0')_train:tensor(0.8234, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 99_test:tensor(0.7919, device='cuda:0')_val:tensor(0.7707, device='cuda:0')_train:tensor(0.8240, device='cuda:0')_lr:1.0000000000000004e-08
damage_severityepoch: 0_test:tensor(0.6616, device='cuda:0')_val:tensor(0.6357, device='cuda:0')_train:tensor(0.6035, device='cuda:0')_lr:1e-05
damage_severityepoch: 1_test:tensor(0.6854, device='cuda:0')_val:tensor(0.6604, device='cuda:0')_train:tensor(0.7004, device='cuda:0')_lr:1e-05
damage_severityepoch: 2_test:tensor(0.6973, device='cuda:0')_val:tensor(0.6630, device='cuda:0')_train:tensor(0.7160, device='cuda:0')_lr:1e-05
damage_severityepoch: 3_test:tensor(0.7063, device='cuda:0')_val:tensor(0.6770, device='cuda:0')_train:tensor(0.7215, device='cuda:0')_lr:1e-05
