disaster_types_test:tensor(0.6207, device='cuda:0')_val:tensor(0.6177, device='cuda:0')_train:tensor(0.9998, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6241, device='cuda:0')_val:tensor(0.6170, device='cuda:0')_train:tensor(0.9999, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6260, device='cuda:0')_val:tensor(0.6204, device='cuda:0')_train:tensor(0.9999, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6279, device='cuda:0')_val:tensor(0.6190, device='cuda:0')_train:tensor(0.9999, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6294, device='cuda:0')_val:tensor(0.6231, device='cuda:0')_train:tensor(0.9999, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6294, device='cuda:0')_val:tensor(0.6238, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6307, device='cuda:0')_val:tensor(0.6245, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6316, device='cuda:0')_val:tensor(0.6231, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6313, device='cuda:0')_val:tensor(0.6224, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6307, device='cuda:0')_val:tensor(0.6231, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6307, device='cuda:0')_val:tensor(0.6231, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6297, device='cuda:0')_val:tensor(0.6231, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6294, device='cuda:0')_val:tensor(0.6238, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6304, device='cuda:0')_val:tensor(0.6238, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6316, device='cuda:0')_val:tensor(0.6238, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6326, device='cuda:0')_val:tensor(0.6231, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
