disaster_typesepoch: 79_test:tensor(0.7994, device='cuda:0')_val:tensor(0.7789, device='cuda:0')_train:tensor(0.8933, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 80_test:tensor(0.8034, device='cuda:0')_val:tensor(0.7830, device='cuda:0')_train:tensor(0.8935, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 81_test:tensor(0.7975, device='cuda:0')_val:tensor(0.7762, device='cuda:0')_train:tensor(0.8930, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 82_test:tensor(0.8028, device='cuda:0')_val:tensor(0.7762, device='cuda:0')_train:tensor(0.8951, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 83_test:tensor(0.7981, device='cuda:0')_val:tensor(0.7810, device='cuda:0')_train:tensor(0.8917, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 84_test:tensor(0.7991, device='cuda:0')_val:tensor(0.7803, device='cuda:0')_train:tensor(0.8907, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 85_test:tensor(0.7969, device='cuda:0')_val:tensor(0.7844, device='cuda:0')_train:tensor(0.8936, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 86_test:tensor(0.7981, device='cuda:0')_val:tensor(0.7755, device='cuda:0')_train:tensor(0.8920, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 87_test:tensor(0.8016, device='cuda:0')_val:tensor(0.7803, device='cuda:0')_train:tensor(0.8913, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 88_test:tensor(0.8034, device='cuda:0')_val:tensor(0.7769, device='cuda:0')_train:tensor(0.8918, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 89_test:tensor(0.8009, device='cuda:0')_val:tensor(0.7762, device='cuda:0')_train:tensor(0.8908, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 90_test:tensor(0.7997, device='cuda:0')_val:tensor(0.7714, device='cuda:0')_train:tensor(0.8934, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 91_test:tensor(0.7937, device='cuda:0')_val:tensor(0.7810, device='cuda:0')_train:tensor(0.8901, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 92_test:tensor(0.8013, device='cuda:0')_val:tensor(0.7796, device='cuda:0')_train:tensor(0.8902, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 93_test:tensor(0.8013, device='cuda:0')_val:tensor(0.7782, device='cuda:0')_train:tensor(0.8945, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 94_test:tensor(0.7981, device='cuda:0')_val:tensor(0.7803, device='cuda:0')_train:tensor(0.8880, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 95_test:tensor(0.7978, device='cuda:0')_val:tensor(0.7844, device='cuda:0')_train:tensor(0.8941, device='cuda:0')_lr:1.0000000000000004e-08
